,,,,only coding,,"only coding, available sequence",,in GB,,,,,,,,,,,,,,,,,,,,,, ,, ,,
Scenedesminia,Chlorophyceae,Bracteacoccus minor,U63097,48.5,0,AF183452,52.9,0,KT199253,192761,31.9,48.4,3,53.5,KJ806266,45175,43,42.2,6,Terrestrial,,,"??? Geneva, Switzerland",26,-1,955.8,48.5,52.9,"Genève Climate, Weather By Month, Average Temperature (Switzerland) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Bracteacoccus ruber,JQ259919,48.4,0,,,,,,,,,,,,,,,Terrestrial,CCAP 221-7,,"Mt. Erebus, Antarctica",0,-28,203,48.4,,"McMurdo Station Climate, Weather By Month, Average Temperature (Antarctica) - Weather Spark",estimates,,,,
Scenedesminia,Chlorophyceae,Bracteamorpha trainorii,JQ259955,48.3,0,KC145441,51.9,0,,,,,,,,,,,,Terrestrial,,,"Carlsbad Caverns NP, NM",36,-1,243.7,48.3,51.9,"Carlsbad Caverns National Park Climate, Weather By Month, Average Temperature (New Mexico, United States) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Chlorotetraedron incus,AF288363,47.3,0,KC145442,50.3,0,NC_029673,193197,27.1,46.6016553,11,50,NC_024757,38406,37.7,49.7,2,Freshwater,,,"Celle, Meißendorfer Fischteiche",24,-2,475.5,47.3,50.3,"Celle Climate, Weather By Month, Average Temperature (Germany) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Chromochloris zofingiensis,HQ902933,48,1,KC145443,51.1,0,KT199251,188937,30.9,47.2,2,50.1,KJ806268,44840,35,42.3,40.9,Terrestrial,,,"Unterengadin, Switzerland",25,-3,983.3,48,51.1,"Zürich Climate, Weather By Month, Average Temperature (Switzerland) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Follicularia botryoides,KC145433,47.9,,KC145449,52.5,0,"MG778351
-MG778407",,,,3,,,,,,,Terrestrial,"Jamaica, soil from stream bank",,"Morsay, Jamaica",32,21,794.8,47.9,52.5,"Montego Bay Climate, Weather By Month, Average Temperature (Jamaica) - Weather Spark",data for Montego Bay,,,,
Scenedesminia,Chlorophyceae,Hariotina reticulata,AH012395,47.5,2,KC145450,51,0,KY792638-KY792700,,,,,,,,,,,Freshwater,,,"Celle, pond near Aschau",24,-2,475.5,,,"Celle Climate, Weather By Month, Average Temperature (Germany) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Kirchneriella aperta,AJ271859,47.8,4,KC145445,51.4,1,KT199250,207516,34.1,42.3,27,50.2,KJ806269,52927,37.1,36.2,9,Freshwater,,,"Lake Stechlin, Germany",24,-2,398.2,47.8,51.4,"Fürstenberg Climate, Weather By Month, Average Temperature (Germany) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Mychonastes homosphaera,GQ477056,50.1,0,KC145446,54.2,0,KT199249,102718,39.8,79.89057419,1,50.7,KJ806270,25149,43,72.8,0,,,,n/a,,,,50.1,54.2,,,,,,
Scenedesminia,Chlorophyceae,Mychonastes jurisii,AF106074,49.7,0,KC145447,53.8,0,NC_028579,103047,39.6,80.33130513,6,50.8,,,,,,Freshwater,,,"Brandenburg, plankton of Stechlinsee",25,-2,399.5,,,"Brandenburg an der Havel Climate, Weather By Month, Average Temperature (Germany) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Neochloris aquatica,M62861,48.1,0,AF277653,50.9,0,KT199248,166767,30.3,50.9,32,48.2,KJ806271,38021,34.4,49.2,11,Freshwater,aquarium,,"Bloomington, IN",30,-5,975.2,48.1,50.9,"Bloomington Climate, Weather By Month, Average Temperature (Indiana, United States) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Ourococcus multisporus,AF277648,48.6,0,AF277655,51.5,0,KT369441 – KT369509,,,,,50.8,KJ806272,49705,32.1,38.1,10,Terrestrial,,,"Enchanted Rock, TX",34,2,657.7,,,"Fredericksburg Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Pediastrum duplex,AY779859,48.4,0,AF183479,51.3,1,MF536514-MF536522,187399,30.3,47.3631129,4,49.3,KJ845693–KJ845705,,,,,Freshwater,,,"Doksy, CZ, Machovo jezero pond plankton",24,-4,427.5,,,"Doksy Climate, Weather By Month, Average Temperature (Czechia) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Pseudomuriella schumacherensis,HQ292768,48.1,1,KC145457,51.2,0,KT199256,220357,31.2,41.3,8,51.8,KJ806273,43134,42.8,44.4,4,Terrestrial,,,"Brande, Denmark",21,-2,590.4,48.1,51.2,"Brande Climate, Weather By Month, Average Temperature (Denmark) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Rotundella rotunda,KC145434,48.7,0,KC145437,50.2,0,KT369317-KT369369,,,,8,,"KJ845706–
KJ845718",,,,0,Terrestrial,,,Joshua Tree NP,37,2,124.7,48.7,50.2,"Joshua Tree Climate, Weather By Month, Average Temperature (California, United States) - Weather Spark",data for Twentynine Palms,,,,
Scenedesminia,Chlorophyceae,Tetradesmus obliquus,AJ249515,47,0,KC145458,50.6,0,DQ396875,161452,26.9,56,10,49.7,AF204057,42919,36.3,45.7,4,Freshwater,,,,,,,47,50.6,,,,,,
Scenedesminia,Chlorophyceae,Tumidella tumida,KC145436,48.6,0,KC145440,51.8,0,,,,,,,,,,,,,,,Namibia,31,8,318.5,48.6,51.8,"Windhoek Climate, Weather By Month, Average Temperature (Namibia) - Weather Spark",,,,,
incertae,Chlorophyceae,Cylindrocapsa geminella,U73471,48.7,0,AF183472,52.1,0?,"MG778186
-MG778229",107144,33.2,47.8,5,,,,,,,Freshwater,,,"Overijssel, Netherlands",22,0,564.5,48.7,52.1,"Zwolle Climate, Weather By Month, Average Temperature (Netherlands) - Weather Spark",data for Meppel,,,,
incertae,Chlorophyceae,Dictyochloris fragrans,AF367861,48.5,1,AY206711,50.9,0,MG778235-MG778296,,,,6,,,,,,,Terrestrial,acid soil,,"Epping Forest, England",23,4,495.1,48.5,50.9,"London Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
incertae,Chlorophyceae,Elakatothrix viridis,AY008844,50,0,AY008845,54.3,0,"MG778297
-MG778350",115983,27.8,43.9,10,48.7,,,,,,Freshwater,"Des Moines River, LC-CH30 is the same strain as SAG 9.94",,"Boone, IA",29,-10,695.7,50,54.3,"Boone Climate, Weather By Month, Average Temperature (Iowa, United States) - Weather Spark",,,,,
incertae,Chlorophyceae,Golenkinia longispicula,AF499923,49.1,0,,,,KT625092-KT625150,515273,33.1,17.8984732,,51.3,,,,,,Freshwater,,,n/a,,,,49.1,,,,,,,
incertae,Chlorophyceae,Jenufa minuta,HM563744,51,0,,,,KT625414,206680,31.8,42.7274047,30,51.7,NC_046780,41488,32.3,35.8,2,Terrestrial,tree bark,,Singapore,32,25,1877.2,51,,"Singapore Climate, Weather By Month, Average Temperature (Singapore) - Weather Spark",,,,,
incertae,Chlorophyceae,Jenufa perforata,HM563743,51.9,0,,,,KT625413,198040,25.3,42.5030297,31,50.7,NC_046779,27198,31.4,68,2,Terrestrial,tree bark,,Singapore,32,25,1877.2,51.9,,"Singapore Climate, Weather By Month, Average Temperature (Singapore) - Weather Spark",,,,18489,
incertae,Chlorophyceae,Microspora sp.,AF387160,49.1,0,,,,MG778408-MG778409,212651,28.6,39.1,14,49.6,"unpubl., partial",72838,31.6,,,Freshwater,,,"Hobson's Brook, Cambridge, UK",22,2,460.7,49.1,,"Cambridge Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
incertae,Chlorophyceae,Parallela transversalis,AF387161,50.2,0,,,,MG786420,177618,31.2,48.3,6,50.9,unpubl.,44555,29.1,43.3,17,Freshwater,Sol's Pond,,"Brewster, MA - MAYBE",25,-4,992.8,50.2,,"Brewster Climate, Weather By Month, Average Temperature (Massachusetts, United States) - Weather Spark",,,,,
incertae,Chlorophyceae,Treubaria triappendiculata,LC192143,50.8,0,,,,KT625410,179588,27,50.3658374,9,52.6,,,,,,Freshwater,18S not the same strain as cp,,"Lake Kasumigaura, Ibaraki, Japan",33,1,1393.7,50.8,,"Ibaraki Climate, Weather By Month, Average Temperature (Japan) - Weather Spark","for NIES 394, not SAG 38.83",,,,
incertae,Chlorophyceae,Trochiscia hystrix,AF277651,50.6,0,AF277658,54.6,0,MG778501-MG778532,276704,32,32.2,19,52.5,,,,,,,,,,,,,50.6,54.6,,,,,,
Volvocales,Chlorophyceae,Borodinellopsis texensis,KM020129,51.1,0,unpubl.,55.6,0,MG778120-MG778127,356516,33.2,27.5,11,50.2,unpubl.,31758,39.1,,,Terrestrial,"sandy, near shore, not desert",,"Mustang Island, TX",34,10,606.5,51.1,,"Corpus Christi Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Carteria cerasiformis,AB688624,48.1,0,,,,KT625420,318967,38.1,32.8140529,14,48.7,,,,,,Freshwater,pond,,"Wakamorishimo-ike Pond Tsukuba Ibaraki, Japan",33,1,1393.7,48.1,,"Ibaraki Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Carteria crucifera,D86501,47.9,0,AF183454,51.3,0,KT624870-KT624932,339261,41.7,31.8,10,50.2,,,,,,Freshwater,"18S from NIES 421, the rest from UTEX 432; pond in Japan vs. New Haven CT - aquarium",,,,,,47.9,51.3,en.climate-data.org,,,,,
Volvocales,Chlorophyceae,Carteria sp.,AF182817,48.4,0,AF183459,51.1,0,KT625419,180596,31.9,45.9877295,22,51.5,,,,,,Freshwater,pond,,"Lunz am See, Austria",22,-7,663,48.4,51.1,"Lunz am See Climate, Weather By Month, Average Temperature (Austria) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Characiochloris acuminata,AF395435,49.2,0,AF395493,51.9,0,NC_028584,197180,37.2,47.1006187,16,50.3,,,,,,Terrestrial,soil,,"Omo-Sahor, soil from El Tahir",37,15,64.4,,,"Sohar Climate, Weather By Month, Average Temperature (Oman) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chlamydomonas applanata,U13984,48.7,0,AF395495,50.9,0,KT625417,203225,39,45.8890392,22,50.9,,,,,,Terrestrial,"SAG:11-9, soil, Bot. Gard. Univ. Prague",,"Prague, CZ",25,-1,420.6,,,"Prague Climate, Weather By Month, Average Temperature (Czechia) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chlamydomonas nivalis,U57696,48.7,0,AF395497,51.4,0,KT624630-KT624716,260752,33.1,41.6,,49,,,,,,Freshwater,snow,,"Cascade Mountains, OR",26,1,1321.1,48.7,51.4,"Crocker Climate, Weather By Month, Average Temperature (Washington, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chlamydomonas peterfii,U70788,50.4,0,AF395496,53,0,KT624954 and many others,,,,,51.4,,,,,,Freshwater,,,CZ (taking Prague as central point),25,-1,420.6,,,"Prague Climate, Weather By Month, Average Temperature (Czechia) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chlamydomonas reinhardtii,draft genome,50.4,0,AF183463,51.4,0,FJ423446,204159,34.5,36.1571128,10,53.2,NC_001638,15758,45.2,83.1,0,Terrestrial,not all the same strain,,,21.1,-5.6,1119,,,,,,,13098,
Volvocales,Chlorophyceae,Chlorococcum tatrense,AB936290,47.7,0,,,,NC_042182,242172,36.1,42.6395289,19,50.3,,,,,,Freshwater,snow detritus,,"Belanske Tatry Mts, Czechoslovakia",27,-3,416.4,,,"Bratislava Climate, Weather By Month, Average Temperature (Slovakia) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chlorogonium capillatum,AB278620,48.8,0,,,,KT625085-KT625091,271378,38.8,36.2984472,10,49.3,,,,,,Freshwater,"cp from UTEX 11, 18S from SAG 4.93",,"MA, Leverett, mud from Atkins Reservoir",28,-10,912.3,,,"Leverett Climate, Weather By Month, Average Temperature (Massachusetts, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chloromonas hohamii SNO67,AB906344,48.9,0,AB906354,52.7,0,,,,,,,,,,,,Freshwater,snow,,"Mt. Lemmon, AZ",37,3,270.8,48.9,52.7,"Saddle Brooke Climate, Weather By Month, Average Temperature (Arizona, United States) - Weather Spark","estimates, precipitation from Tucson",,,,
Volvocales,Chlorophyceae,Chloromonas perforata,KR607484,47.7,0,,,,KT625416,271974,36.8,37.6216109,14,50.1,,,,,,Freshwater,"pool in forest, SAG 11-43",,"Tvärminne, Finland",20,-5,465.3,,,"Hanko Climate, Weather By Month, Average Temperature (Finland) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chloromonas radiata,U57697,49,0,LC360477,51.9,0,KT625008 and many others,308429,38.8,34.0019907,3,50.4,,,,,,Terrestrial,,,"McMahan, Texas, USA",35,0,383.5,,,"Big Spring McMahon-Wrinkle Airport Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chloromonas rosae,U70796,48.1,0,KC196731,51.7,0,MG778174-MG778184,713219,33.7,14.6,22,49.4,,,,,,Terrestrial,alpine soil,,"Tatranska Javorina, Slovakia",20,-10,519.9,48.1,51.7,"Ždiar Climate, Weather By Month, Average Temperature (Slovakia) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Chlorosarcinopsis eremi,AB218706,49.1,0,MH654823,51.7,0,MG778185,298847,35.1,32.6,7,51.3,NC_041430,24905,38.4,41.8,4,Terrestrial,UTEX 1186; mt and 28S data available for strain MKA 28 from Iran,,"Phoenix, AZ",41,7,204.9,49.1,,"Phoenix Climate, Weather By Month, Average Temperature (Arizona, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Desmotetra stigmatica,AB218711,50,0,DQ015738,52.9,0,"MG778230
-MG778234",198003,30.6,40.1,2,52.9,,,,,,Terrestrial,Alabama soil,,Alabama,32,2,1205.7,50,52.9,"Birmingham Climate, Weather By Month, Average Temperature (Alabama, United States) - Weather Spark",average between Mobile and Birmingham,,,,
Volvocales,Chlorophyceae,Dunaliella salina,EF473745,47.9,1,DQ015745,51.3,0,GQ250046,269044,32.1,39.7823404,37,49.6,GQ250045,28331,34.4,42,18,Marine,"hypersaline lakes, ccap 19/18 for most, UTEX 200 for 28s",,"Hutt Lagoon, Western Australia",31,10,327.5,47.9,,"Geraldton Climate, Weather By Month, Average Temperature (Australia) - Weather Spark",data for Horrocks,,,,
Volvocales,Chlorophyceae,Gonium pectorale,LC066324,50,0,,,,AP012494,222582,29.8,43.3,3,52.4,AP012493,15993,38.7,73,1,Freshwater,18S not the same strain as organellar,,"Okayama, Japan",32,2,1191,50,,"Okayama Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Haematococcus lacustris,HPU70590,48.5,0,KY364700,50.1,0,NC_037007,1352306,49.9,6.6,,49,NC_044670,124604,51.3,10.7,2,Freshwater,UTEX 2505; unsure where from; 28S a different strain,,,,,,,,https://www.sciencedirect.com/science/article/pii/S2211926421001272,,,89883,13317,
Volvocales,Chlorophyceae,Hafniomonas laevis,AB101517,49.6,0,,,,KT625415,263327,37.7,31.2584733,26,49.7,,,,,,Freshwater,NIES-257,,"NIES pool, Tsukuba, Japan",30,-4,1252.9,49.6,,"Tsukuba Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Lobochlamys culleus,AJ410462,48.3,0,AF395499,51.6,0,KT625151 - KT625204,383231,30.1,25.7575718,18,50.7,,,,,,Freshwater,"SAG 19.72 and 18.72, cross-breed compatible",,"Florida, field near Maxville",32,7,1096,,,"Starke Climate, Weather By Month, Average Temperature (Florida, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Lobochlamys segnis,U70593,48.2,0,AF395504,51.7,0,KT624806 - KT624869,377326,42.3,28.7366892,21,50.5,,,,,,Freshwater,SAG 9.83,,"USA, TX, McDade-Caldwell, roadside pool",35,4,827.1,,,"Caldwell Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Microglena monadina,JN903976,47.6,0,,,,KT624717 - KT624805,308339,34,29.7143728,54,49.2,,,,,,Freshwater,SAG 31.72,,"USA, IN, Bloomington, Yellowwood fish ponds",30,-5,975.2,,,"Bloomington Climate, Weather By Month, Average Temperature (Indiana, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Oogamochlamys gigantea,AJ410465,48.9,0,DQ015757,53.2,0,KT625412,254077,35.2,40.5322009,20,51.3,,,,,,Terrestrial,SAG 44.91,,"South Africa, Cape Town, soil from Cape Flats ""De Klip""; leg. M. A. Pocock, 1965",25,9,411,,,"Cape Town Climate, Weather By Month, Average Temperature (South Africa) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Palmellopsis texensis,MG991816,48.1,0,,,,MG778446-MG778490,314811,42,27.2,5,,,,,,,Terrestrial,"utex 1708, sandy, not desert",,"Port Aransas, TX",32,11,658.4,48.1,,"Port Aransas Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Phacotus lenticularis,X91628,47.8,0,,,,KT625422,203369,32.6,43.6266098,14,50.2,,,,,,Freshwater,"SAG 61–1, 18S probably a different strain",,UK,19,1,601,,,"Edinburgh Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Pleodorina starrii,LC086359,50.1,0,,,,NC_021109,269857,34.9,35.6436928,20,52,NC_021108,20375,38,57,3,Freshwater,"NIES-1363, 18S from 1362, same locality",,"Lake Sagami, Kanagawa, Japan",30,-3,1102.7,,,"Chichibu Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Protosiphon botryoides,JN880460,49.1,0,AF183481,50.8,0,MG778499 and others,138549,30.1,59.3299122,7,50,,,,,,Terrestrial,UTEX B 99,,"probably SW USA, H. Bold",,,,,,,,,,,
Volvocales,Chlorophyceae,Stephanosphaera pluvialis,LC066326,48.1,0,KC589698,51.6,0,KT625299 - KT625409,220835,45.9,45.5824484,36,51,,,,,,Freshwater,SAG 78-1a; 28S from UTEX 771 locality unknown,,"Sweden, rock pool at Lake Erken	",22,-6,431.4,,,"Stockholm Climate, Weather By Month, Average Temperature (Sweden) - Weather Spark",,,,,
Volvocales,Chlorophyceae,Volvox carteri,X53904,49.5,0,AF183490,51.7,0,GU084820,461064,42.8,20.1327798,8,52,GU048821,29649,34.4,52,3,Freshwater,UTEX 2908,,"location unclear for 2908; 1885 same variety; Kobe, Japan",32,2,1318.4,,,"Kobe Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,15423,
OCC,Chlorophyceae,Chaetopeltis orbicularis,U83125,48.3,0,AF183465,53.9,0,MG778148 and others,222353,28,36.591366,28,48.5,,,,,,Freshwater,UTEX 422,,location unknown,,,,,,,,,,,
OCC,Chlorophyceae,Floydiella terrestris,D86498,48.3,,AF183480,53.3,0,GU196268,521168,34.5,18.6,27,48.9,,,,,,Terrestrial,soil,,"Memphis, TN",33,1,1146.8,48.3,53.3,"Memphis Climate, Weather By Month, Average Temperature (Tennessee, United States) - Weather Spark",,,,,
OCC,Chlorophyceae,Koshicola spirodelophila,KT693223,48.4,0,KT693223,49.8,0,KT713390-2,384895,36.7,27.83616311,16,48.7,,,,,,Freshwater,on Spirodela,,"Toyama, Japan",31,0,1584.8,48.4,49.8,"Toyama Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,,
OCC,Chlorophyceae,Oedocladium carolinianum,U83135,48.5,0,KC817001,51.6,0,NC_031510,204438,29.8,58.91321574,19,50.6,,,,,,Freshwater,UTEX 1686,,location unknown,,,,48.5,51.6,,,,,,
OCC,Chlorophyceae,Oedogonium angustistomum,U83134,47.9,0,,,,MG778437 and others,146894,28,61.469495,19,50.7,,,,,,Freshwater,UTEX 1557,,location unknown,,,,,,,,,,,
OCC,Chlorophyceae,Oedogonium cardiacum,U83133,48.2,0,AF183478,52.1,0,EU677193,196547,29.5,55.8,23,50.7,,,,,,Freshwater,SAG 575-1b = UTEX 40,,"UK, England",19,2,518.2,48.2,52.1,"Newcastle upon Tyne Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
OCC,Chlorophyceae,Schizomeris leibleinii,AF182820,48.2,0,AF183483,53.1,0,HQ700713,182759,27.2,51.6,34,50,,,,,,Freshwater,UTEX 1228,,location unknown,,,,48.2,53.1,,,,,,
OCC,Chlorophyceae,Stigeoclonium helveticum,U83131,48.9,0,KC817002,53.9,0,DQ630521,223902,28.9,44.6391725,25,51.1,MN810332,46765,28.2,39.3,13,Freshwater,UTEX 441,,"Rosenau/Basel, Switzerland",26,-1,789.5,48.9,53.9,"Basel Climate, Weather By Month, Average Temperature (Switzerland) - Weather Spark",,,,18391,
OCC,Chlorophyceae,Uronema sp.,FN824391,49.6,0,,,,MG778533,198471,27.2,48.9779363,22,50.8,,,,,,Freshwater,CCAP 334/1,,location unknown,,,,,,https://weatherspark.com/,,,,,
,Trebouxiophyceae,Coccomyxa prinsheimii *,KF673358,49.8,1,,,,,,,,,rrs (gene),,,,,,Terrestrial,SAG 216-7,,"Finland, phycobiont of lichen Botrydina vulgaris",22,-11,463.9,,,"Tampere Climate, Weather By Month, Average Temperature (Finland) - Weather Spark",,,,,
,Trebouxiophyceae,Symbiochloris reticulata *,GU017650,51.7,0,,,,,,,,,,,,,,,Terrestrial,SAG 53.87,,"Spain, Teneriffe, Roque Chinotére, phycobiont of lichen Lobaria pulmonaria var. meridionalis",28,15,98,,,"Tenerife Climate, Weather By Month, Average Temperature (Spain) - Weather Spark",,,,,
Chlorellales,Trebouxiophyceae,Chlorella vulgaris,,,,,,,NC_001865,150613,31.6,,3,G-C %,,,,,,Freshwater,C-27 ,,"possibly Sendai, Miyagi, Japan  ",27,-3,1008.3,,,"Sendai Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,,
,Trebouxiophyceae,Pseudochloris wilhelmii,X56102,49.7,0,,,,NC_025547,109775,36.7,,1,52.1,,,,,,Marine,"SAG 1.80, 18S from C-1.1.9",,"Bermuda, mangrove swamp",30,16,1093.7,,,"Bermuda Climate, Weather By Month, Average Temperature (Bermuda) - Weather Spark",,,,,
,Trebouxiophyceae,Dicloster acuatus,AB037085,49.9,0,,,,NC_025546,169201,30,,10,51,,,,,,Freshwater,SAG 41.98,,"Ukraine, pond at Krasne",24,-6,434.1,,,"Krasne Climate, Weather By Month, Average Temperature (Ukraine) - Weather Spark",,,,,
Trebouxiales,Trebouxiophyceae,Lobosphaera incisa,LC366917,49.3,0,,,,KM821265,156028,27.9,,1,48.2,NC_027060,69997,36,50.1,4,Freshwater,SAG 2468,,"Japan, Mt. Tateyama, snow",29,-4,995,,,"Fukushima Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,35086,
,Trebouxiophyceae,Fusochloris perforata,AF183467,53.7,0,AF183467,53.7,0,NC_025543 ,148459,35.1,51.94027,0,53,,,,,,Terrestrial,"UTEX 2104, same as SAG 28.85",,"Slovakia, Belanske Tatry Mts., Monkova dolina, snow detritus",20,-10,519.9,,,"Ždiar Climate, Weather By Month, Average Temperature (Slovakia) - Weather Spark",,,,,
,Trebouxiophyceae,Microthamnion kuetzingianum,AB488588,50.1,0,,,,NC_025537 ,158609,34.7,45.93876,0,52.9,,,,,,Freshwater,"NIES-479, utex 318 - cp (=sag 450-1b; renamed to Aphanochaete sp.; one of them is contaminated)",,"UK, Yorkshire, Malham Tarn",18,1,847,,,"Yorkshire Dales National Park Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
,Trebouxiophyceae,Trebouxia aggregata,EU123942,49,0,,,,,,,,,,,,,,,,SAG 219-1d,,"location unknown, phycobiont of lichen Xanthoria parientina",,,,,,,,,,,
,Trebouxiophyceae,Paradoxia multiseta,AY422078,49.6,0,,,,NC_025540,183394,50.6,47.13458,14,53.4,,,,,,Freshwater,UTEX LB 2460 = SAG 18.84,,"Haltern, Stausee, Germany",23,0,610.4,,,"Haltern Climate, Weather By Month, Average Temperature (Germany) - Weather Spark",,,,,
Watanabeales,Trebouxiophyceae,Watanabea reniformis,X73991,51.1,1,,,,NC_025526,201425,41.2,42.93707,7,52,,,,,,Freshwater,SAG 211-9b,,"United Kingdom, garden basin in West Humble, Dorking",22,2,519.4,,,"Dorking Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
